stimType,trialType,targChange,cue,startTime,responseTime,trialKeyPress,correctResponse,trialNumber,stimulusHandle,pauseTime,date,expName,session,participant,
1,2,1,0,1533671324.25,1.0759999752,f,0,1,stimType1_trialType2_cue0_order1 (90)_resized.png,,2018_Aug_07_1248,Change Detection.py,001,004_1,
1,1,1,1,1533671329.18,1.27900004387,j,0,2,stimType1_trialType1_cue1_order1 (29)_resized.png,,2018_Aug_07_1248,Change Detection.py,001,004_1,
1,0,0,0,1533671334.05,0.686000108719,f,1,3,stimType1_trialType0_cue0_order0 (92)_resized.png,,2018_Aug_07_1248,Change Detection.py,001,004_1,
1,2,1,1,1533671338.87,0.842000007629,i,1,4,stimType1_trialType2_cue1_order1 (34)_resized.png,,2018_Aug_07_1248,Change Detection.py,001,004_1,
1,2,1,0,1533671343.75,0.921000003815,r,1,5,stimType1_trialType2_cue0_order1 (33)_resized.png,,2018_Aug_07_1248,Change Detection.py,001,004_1,
1,1,0,1,1533671348.77,0.842000007629,j,1,6,stimType1_trialType1_cue1_order0 (61)_resized.png,,2018_Aug_07_1248,Change Detection.py,001,004_1,
1,0,1,0,1533671353.59,1.46700000763,r,1,7,stimType1_trialType0_cue0_order1 (56)_resized.png,,2018_Aug_07_1248,Change Detection.py,001,004_1,
1,0,1,1,1533671358.49,0,9,0,8,stimType1_trialType0_cue1_order1 (97)_resized.png,,2018_Aug_07_1248,Change Detection.py,001,004_1,
1,1,1,1,1533671363.35,1.26399993896,i,1,9,stimType1_trialType1_cue1_order1 (85)_resized.png,,2018_Aug_07_1248,Change Detection.py,001,004_1,
1,2,1,1,1533671368.25,0.952000141144,i,1,10,stimType1_trialType2_cue1_order1 (57)_resized.png,,2018_Aug_07_1248,Change Detection.py,001,004_1,
1,2,1,1,1533671373.21,0.967000007629,i,1,11,stimType1_trialType2_cue1_order1 (15)_resized.png,,2018_Aug_07_1248,Change Detection.py,001,004_1,
