stimType,trialType,targChange,cue,startTime,responseTime,trialKeyPress,correctResponse,trialNumber,stimulusHandle,pauseTime,date,expName,session,participant,
0,0,1,1,1533237617.22,0.77999997139,i,1,1,stimType0_trialType0_cue1_order1 (99)_resized.png,,2018_Aug_02_1220,Change Detection.py,002,002_2,
0,0,0,0,1533237622.04,0.640000104904,f,1,2,stimType0_trialType0_cue0_order0 (14)_resized.png,,2018_Aug_02_1220,Change Detection.py,002,002_2,
0,1,0,1,1533237626.75,0.858000040054,j,1,3,stimType0_trialType1_cue1_order0 (76)_resized.png,,2018_Aug_02_1220,Change Detection.py,002,002_2,
0,2,0,0,1533237631.51,0.702000141144,f,1,4,stimType0_trialType2_cue0_order0 (68)_resized.png,,2018_Aug_02_1220,Change Detection.py,002,002_2,
0,1,0,0,1533237636.25,1.67000007629,f,1,5,stimType0_trialType1_cue0_order0 (85)_resized.png,,2018_Aug_02_1220,Change Detection.py,002,002_2,
0,0,1,1,1533237641.03,0.795000076294,i,1,6,stimType0_trialType0_cue1_order1 (5)_resized.png,,2018_Aug_02_1220,Change Detection.py,002,002_2,
0,0,0,1,1533237645.82,0.77999997139,j,1,7,stimType0_trialType0_cue1_order0 (83)_resized.png,,2018_Aug_02_1220,Change Detection.py,002,002_2,
0,0,1,1,1533237650.63,1.4359998703,i,1,8,stimType0_trialType0_cue1_order1 (1)_resized.png,,2018_Aug_02_1220,Change Detection.py,002,002_2,
0,2,1,1,1533237655.49,0.951999902725,i,1,9,stimType0_trialType2_cue1_order1 (16)_resized.png,,2018_Aug_02_1220,Change Detection.py,002,002_2,
0,0,1,1,1533237660.32,0.780000209808,i,1,10,stimType0_trialType0_cue1_order1 (10)_resized.png,,2018_Aug_02_1220,Change Detection.py,002,002_2,
0,1,0,0,1533237665.13,1.18499994278,f,1,11,stimType0_trialType1_cue0_order0 (74)_resized.png,,2018_Aug_02_1220,Change Detection.py,002,002_2,
0,1,0,0,1533237669.92,0.71799993515,f,1,12,stimType0_trialType1_cue0_order0 (16)_resized.png,,2018_Aug_02_1220,Change Detection.py,002,002_2,
0,1,0,1,1533237674.71,1.5600001812,j,1,13,stimType0_trialType1_cue1_order0 (99)_resized.png,,2018_Aug_02_1220,Change Detection.py,002,002_2,
0,0,1,1,1533237679.48,1.66900014877,i,1,14,stimType0_trialType0_cue1_order1 (60)_resized.png,,2018_Aug_02_1220,Change Detection.py,002,002_2,
0,0,0,1,1533237684.3,0.765000104904,j,1,15,stimType0_trialType0_cue1_order0 (87)_resized.png,,2018_Aug_02_1220,Change Detection.py,002,002_2,
0,2,0,1,1533237689.05,0.608000040054,j,1,16,stimType0_trialType2_cue1_order0 (22)_resized.png,,2018_Aug_02_1220,Change Detection.py,002,002_2,
0,0,1,0,1533237693.81,0.65499997139,r,1,17,stimType0_trialType0_cue0_order1 (25)_resized.png,,2018_Aug_02_1220,Change Detection.py,002,002_2,
0,2,0,0,1533237698.66,1.49700021744,f,1,18,stimType0_trialType2_cue0_order0 (87)_resized.png,,2018_Aug_02_1220,Change Detection.py,002,002_2,
0,1,1,0,1533237703.43,0.796000003815,r,1,19,stimType0_trialType1_cue0_order1 (68)_resized.png,,2018_Aug_02_1220,Change Detection.py,002,002_2,
0,1,0,0,1533237708.28,1.87199997902,f,1,20,stimType0_trialType1_cue0_order0 (16)_resized.png,,2018_Aug_02_1220,Change Detection.py,002,002_2,
0,0,1,0,1533237713.06,0.763999938965,r,1,21,stimType0_trialType0_cue0_order1 (20)_resized.png,,2018_Aug_02_1220,Change Detection.py,002,002_2,
0,0,0,0,1533237717.88,0.90399980545,f,1,22,stimType0_trialType0_cue0_order0 (94)_resized.png,,2018_Aug_02_1220,Change Detection.py,002,002_2,
0,1,1,0,1533237722.64,1.4350001812,r,1,23,stimType0_trialType1_cue0_order1 (43)_resized.png,,2018_Aug_02_1220,Change Detection.py,002,002_2,
0,0,0,0,1533237727.51,0.5609998703,f,1,24,stimType0_trialType0_cue0_order0 (85)_resized.png,,2018_Aug_02_1220,Change Detection.py,002,002_2,
0,2,1,1,1533237732.25,0.795000076294,i,1,25,stimType0_trialType2_cue1_order1 (57)_resized.png,,2018_Aug_02_1220,Change Detection.py,002,002_2,
0,0,1,0,1533237737.1,0.920000076294,r,1,26,stimType0_trialType0_cue0_order1 (29)_resized.png,,2018_Aug_02_1220,Change Detection.py,002,002_2,
0,2,1,1,1533237741.95,1.76300001144,j,0,27,stimType0_trialType2_cue1_order1 (66)_resized.png,,2018_Aug_02_1220,Change Detection.py,002,002_2,
0,1,0,0,1533237746.82,0.950999975204,f,1,28,stimType0_trialType1_cue0_order0 (14)_resized.png,,2018_Aug_02_1220,Change Detection.py,002,002_2,
0,0,0,1,1533237751.56,1.10799980164,j,1,29,stimType0_trialType0_cue1_order0 (53)_resized.png,,2018_Aug_02_1220,Change Detection.py,002,002_2,
0,2,1,0,1533237756.32,1.63800001144,f,0,30,stimType0_trialType2_cue0_order1 (96)_resized.png,,2018_Aug_02_1220,Change Detection.py,002,002_2,
0,1,1,0,1533237761.17,0.84299993515,r,1,31,stimType0_trialType1_cue0_order1 (29)_resized.png,12.5739998817,2018_Aug_02_1220,Change Detection.py,002,002_2,
0,2,0,0,1533237778.56,1.80100011826,f,1,32,stimType0_trialType2_cue0_order0 (76)_resized.png,,2018_Aug_02_1220,Change Detection.py,002,002_2,
0,2,1,0,1533237783.31,0.671000003815,r,1,33,stimType0_trialType2_cue0_order1 (25)_resized.png,,2018_Aug_02_1220,Change Detection.py,002,002_2,
0,0,1,1,1533237788.13,1.41900014877,i,1,34,stimType0_trialType0_cue1_order1 (68)_resized.png,,2018_Aug_02_1220,Change Detection.py,002,002_2,
0,2,0,0,1533237792.95,1.13900017738,f,1,35,stimType0_trialType2_cue0_order0 (72)_resized.png,,2018_Aug_02_1220,Change Detection.py,002,002_2,
0,0,1,0,1533237797.7,1.99699997902,r,1,36,stimType0_trialType0_cue0_order1 (81)_resized.png,,2018_Aug_02_1220,Change Detection.py,002,002_2,
0,0,1,1,1533237802.53,0.983000040054,i,1,37,stimType0_trialType0_cue1_order1 (7)_resized.png,,2018_Aug_02_1220,Change Detection.py,002,002_2,
0,1,1,0,1533237807.37,1.54399991035,r,1,38,stimType0_trialType1_cue0_order1 (40)_resized.png,,2018_Aug_02_1220,Change Detection.py,002,002_2,
0,0,0,1,1533237812.18,1.55999994278,j,1,39,stimType0_trialType0_cue1_order0 (48)_resized.png,,2018_Aug_02_1220,Change Detection.py,002,002_2,
0,2,1,0,1533237816.94,1.34100008011,r,1,40,stimType0_trialType2_cue0_order1 (43)_resized.png,,2018_Aug_02_1220,Change Detection.py,002,002_2,
0,1,0,1,1533237821.84,0.858000040054,j,1,41,stimType0_trialType1_cue1_order0 (26)_resized.png,,2018_Aug_02_1220,Change Detection.py,002,002_2,
0,0,1,0,1533237826.6,0.764999866486,r,1,42,stimType0_trialType0_cue0_order1 (44)_resized.png,,2018_Aug_02_1220,Change Detection.py,002,002_2,
0,1,1,1,1533237831.43,0,9,0,43,stimType0_trialType1_cue1_order1 (41)_resized.png,,2018_Aug_02_1220,Change Detection.py,002,002_2,
0,2,0,0,1533237836.29,1.34200000763,f,1,44,stimType0_trialType2_cue0_order0 (21)_resized.png,,2018_Aug_02_1220,Change Detection.py,002,002_2,
0,2,0,0,1533237841.07,1.28099989891,f,1,45,stimType0_trialType2_cue0_order0 (29)_resized.png,,2018_Aug_02_1220,Change Detection.py,002,002_2,
0,0,0,0,1533237845.82,1.52900004387,f,1,46,stimType0_trialType0_cue0_order0 (38)_resized.png,,2018_Aug_02_1220,Change Detection.py,002,002_2,
0,0,0,1,1533237850.58,1.15400004387,j,1,47,stimType0_trialType0_cue1_order0 (55)_resized.png,,2018_Aug_02_1220,Change Detection.py,002,002_2,
0,1,0,1,1533237855.33,0.77999997139,j,1,48,stimType0_trialType1_cue1_order0 (46)_resized.png,,2018_Aug_02_1220,Change Detection.py,002,002_2,
0,1,1,1,1533237860.11,0.74799990654,i,1,49,stimType0_trialType1_cue1_order1 (22)_resized.png,,2018_Aug_02_1220,Change Detection.py,002,002_2,
0,1,1,1,1533237864.96,1.91799998283,i,1,50,stimType0_trialType1_cue1_order1 (5)_resized.png,,2018_Aug_02_1220,Change Detection.py,002,002_2,
0,0,1,0,1533237869.78,1.12400007248,r,1,51,stimType0_trialType0_cue0_order1 (11)_resized.png,,2018_Aug_02_1220,Change Detection.py,002,002_2,
