stimType,trialType,targChange,cue,startTime,responseTime,trialKeyPress,correctResponse,trialNumber,stimulusHandle,pauseTime,date,expName,session,participant,
1,0,1,1,1533160487.55,1.55999994278,i,1,1,stimType1_trialType0_cue1_order1 (8)_resized.png,,2018_Aug_01_1454,Change Detection.py,001,003_2,
1,0,1,0,1533160492.39,0,9,0,2,stimType1_trialType0_cue0_order1 (97)_resized.png,,2018_Aug_01_1454,Change Detection.py,001,003_2,
1,0,0,0,1533160497.19,0.842000007629,f,1,3,stimType1_trialType0_cue0_order0 (66)_resized.png,,2018_Aug_01_1454,Change Detection.py,001,003_2,
1,1,1,1,1533160501.96,0.983000040054,i,1,4,stimType1_trialType1_cue1_order1 (25)_resized.png,,2018_Aug_01_1454,Change Detection.py,001,003_2,
1,1,0,1,1533160506.9,1.37299990654,j,1,5,stimType1_trialType1_cue1_order0 (52)_resized.png,,2018_Aug_01_1454,Change Detection.py,001,003_2,
1,0,0,1,1533160511.73,0.84299993515,j,1,6,stimType1_trialType0_cue1_order0 (91)_resized.png,,2018_Aug_01_1454,Change Detection.py,001,003_2,
1,1,1,0,1533160516.49,1.27999997139,r,1,7,stimType1_trialType1_cue0_order1 (44)_resized.png,,2018_Aug_01_1454,Change Detection.py,001,003_2,
1,1,1,1,1533160521.34,1.06100010872,i,1,8,stimType1_trialType1_cue1_order1 (30)_resized.png,,2018_Aug_01_1454,Change Detection.py,001,003_2,
1,2,0,0,1533160526.23,1.06100010872,f,1,9,stimType1_trialType2_cue0_order0 (48)_resized.png,,2018_Aug_01_1454,Change Detection.py,001,003_2,
1,2,1,1,1533160531.03,0.999000072479,j,0,10,stimType1_trialType2_cue1_order1 (2)_resized.png,,2018_Aug_01_1454,Change Detection.py,001,003_2,
1,0,1,1,1533160535.92,1.16999983788,i,1,11,stimType1_trialType0_cue1_order1 (2)_resized.png,,2018_Aug_01_1454,Change Detection.py,001,003_2,
1,2,1,1,1533160540.74,1.52900004387,i,1,12,stimType1_trialType2_cue1_order1 (66)_resized.png,,2018_Aug_01_1454,Change Detection.py,001,003_2,
1,2,0,1,1533160545.61,1.21700000763,j,1,13,stimType1_trialType2_cue1_order0 (21)_resized.png,,2018_Aug_01_1454,Change Detection.py,001,003_2,
1,0,0,0,1533160550.42,1.01400017738,f,1,14,stimType1_trialType0_cue0_order0 (48)_resized.png,,2018_Aug_01_1454,Change Detection.py,001,003_2,
1,1,0,0,1533160555.17,1.16999983788,f,1,15,stimType1_trialType1_cue0_order0 (33)_resized.png,,2018_Aug_01_1454,Change Detection.py,001,003_2,
1,1,0,0,1533160560.0,1.35800004005,f,1,16,stimType1_trialType1_cue0_order0 (10)_resized.png,,2018_Aug_01_1454,Change Detection.py,001,003_2,
1,2,1,1,1533160564.8,1.02999997139,i,1,17,stimType1_trialType2_cue1_order1 (78)_resized.png,,2018_Aug_01_1454,Change Detection.py,001,003_2,
