stimType,trialType,targChange,cue,startTime,responseTime,trialKeyPress,correctResponse,trialNumber,stimulusHandle,pauseTime,date,expName,session,participant,
1,1,1,0,1533238333.36,0.998999834061,r,1,1,stimType1_trialType1_cue0_order1 (10)_resized.png,,2018_Aug_02_1232,Change Detection.py,001,002_3,
1,2,0,1,1533238338.27,0.794999837875,j,1,2,stimType1_trialType2_cue1_order0 (28)_resized.png,,2018_Aug_02_1232,Change Detection.py,001,002_3,
1,2,1,0,1533238343.11,1.62199997902,r,1,3,stimType1_trialType2_cue0_order1 (69)_resized.png,,2018_Aug_02_1232,Change Detection.py,001,002_3,
1,2,1,1,1533238347.98,0.889999866486,i,1,4,stimType1_trialType2_cue1_order1 (3)_resized.png,,2018_Aug_02_1232,Change Detection.py,001,002_3,
1,1,1,0,1533238352.88,1.34200000763,r,1,5,stimType1_trialType1_cue0_order1 (59)_resized.png,,2018_Aug_02_1232,Change Detection.py,001,002_3,
1,0,1,1,1533238357.72,1.6850001812,i,1,6,stimType1_trialType0_cue1_order1 (74)_resized.png,,2018_Aug_02_1232,Change Detection.py,001,002_3,
1,2,0,1,1533238362.55,0.671000003815,j,1,7,stimType1_trialType2_cue1_order0 (11)_resized.png,,2018_Aug_02_1232,Change Detection.py,001,002_3,
1,1,0,1,1533238367.33,0.87299990654,j,1,8,stimType1_trialType1_cue1_order0 (68)_resized.png,,2018_Aug_02_1232,Change Detection.py,001,002_3,
1,2,0,0,1533238372.15,0.825999975204,f,1,9,stimType1_trialType2_cue0_order0 (91)_resized.png,,2018_Aug_02_1232,Change Detection.py,001,002_3,
1,2,0,1,1533238376.92,0.686000108719,j,1,10,stimType1_trialType2_cue1_order0 (92)_resized.png,,2018_Aug_02_1232,Change Detection.py,001,002_3,
1,1,1,0,1533238381.74,1.63800001144,r,1,11,stimType1_trialType1_cue0_order1 (7)_resized.png,,2018_Aug_02_1232,Change Detection.py,001,002_3,
1,1,1,1,1533238386.64,0.967000007629,i,1,12,stimType1_trialType1_cue1_order1 (99)_resized.png,,2018_Aug_02_1232,Change Detection.py,001,002_3,
1,0,1,0,1533238391.54,1.74699997902,r,1,13,stimType1_trialType0_cue0_order1 (19)_resized.png,,2018_Aug_02_1232,Change Detection.py,001,002_3,
1,1,1,1,1533238396.36,0.68700003624,i,1,14,stimType1_trialType1_cue1_order1 (37)_resized.png,,2018_Aug_02_1232,Change Detection.py,001,002_3,
1,2,0,1,1533238401.24,1.68499994278,i,0,15,stimType1_trialType2_cue1_order0 (71)_resized.png,,2018_Aug_02_1232,Change Detection.py,001,002_3,
1,2,0,0,1533238406.05,1.21700000763,r,0,16,stimType1_trialType2_cue0_order0 (98)_resized.png,,2018_Aug_02_1232,Change Detection.py,001,002_3,
1,0,0,1,1533238410.84,0.832000017166,j,1,17,stimType1_trialType0_cue1_order0 (98)_resized.png,,2018_Aug_02_1232,Change Detection.py,001,002_3,
1,0,1,0,1533238415.62,1.04500007629,r,1,18,stimType1_trialType0_cue0_order1 (28)_resized.png,,2018_Aug_02_1232,Change Detection.py,001,002_3,
1,2,1,1,1533238420.46,1.51300001144,i,1,19,stimType1_trialType2_cue1_order1 (27)_resized.png,,2018_Aug_02_1232,Change Detection.py,001,002_3,
1,1,1,1,1533238425.41,1.49799990654,i,1,20,stimType1_trialType1_cue1_order1 (24)_resized.png,,2018_Aug_02_1232,Change Detection.py,001,002_3,
1,1,1,1,1533238430.31,1.0,i,1,21,stimType1_trialType1_cue1_order1 (96)_resized.png,,2018_Aug_02_1232,Change Detection.py,001,002_3,
1,1,0,0,1533238435.23,1.15499997139,f,1,22,stimType1_trialType1_cue0_order0 (86)_resized.png,,2018_Aug_02_1232,Change Detection.py,001,002_3,
1,2,1,1,1533238440.07,1.06299996376,j,0,23,stimType1_trialType2_cue1_order1 (38)_resized.png,,2018_Aug_02_1232,Change Detection.py,001,002_3,
1,0,0,0,1533238444.97,1.27900004387,f,1,24,stimType1_trialType0_cue0_order0 (34)_resized.png,,2018_Aug_02_1232,Change Detection.py,001,002_3,
1,0,1,0,1533238449.72,1.74699997902,r,1,25,stimType1_trialType0_cue0_order1 (23)_resized.png,,2018_Aug_02_1232,Change Detection.py,001,002_3,
1,2,0,0,1533238454.6,1.76300001144,f,1,26,stimType1_trialType2_cue0_order0 (99)_resized.png,,2018_Aug_02_1232,Change Detection.py,001,002_3,
1,0,0,1,1533238459.43,0.827000141144,j,1,27,stimType1_trialType0_cue1_order0 (38)_resized.png,,2018_Aug_02_1232,Change Detection.py,001,002_3,
1,0,1,1,1533238464.24,0.733000040054,i,1,28,stimType1_trialType0_cue1_order1 (9)_resized.png,,2018_Aug_02_1232,Change Detection.py,001,002_3,
1,1,0,0,1533238469.09,1.15499997139,r,0,29,stimType1_trialType1_cue0_order0 (39)_resized.png,,2018_Aug_02_1232,Change Detection.py,001,002_3,
1,2,0,0,1533238473.92,0.795000076294,f,1,30,stimType1_trialType2_cue0_order0 (51)_resized.png,,2018_Aug_02_1232,Change Detection.py,001,002_3,
1,0,1,1,1533238478.71,0.96799993515,i,1,31,stimType1_trialType0_cue1_order1 (60)_resized.png,10.9979999065,2018_Aug_02_1232,Change Detection.py,001,002_3,
1,0,0,0,1533238494.53,0.499000072479,f,1,32,stimType1_trialType0_cue0_order0 (53)_resized.png,,2018_Aug_02_1232,Change Detection.py,001,002_3,
1,2,1,1,1533238499.31,1.45300006866,i,1,33,stimType1_trialType2_cue1_order1 (52)_resized.png,,2018_Aug_02_1232,Change Detection.py,001,002_3,
1,0,0,0,1533238504.22,1.03000020981,f,1,34,stimType1_trialType0_cue0_order0 (64)_resized.png,,2018_Aug_02_1232,Change Detection.py,001,002_3,
1,1,1,0,1533238508.97,1.79400014877,r,1,35,stimType1_trialType1_cue0_order1 (74)_resized.png,,2018_Aug_02_1232,Change Detection.py,001,002_3,
